rank_guess,ticker,company,gics_sub_industry,sub_group,upstream_reserves,note
1,XOM,ExxonMobil,Integrated Oil & Gas,INT,yes,Bloomberg peer group Integrated Oils; the verified export
2,CVX,Chevron,Integrated Oil & Gas,INT,yes,second and last S&P 500 integrated oil
3,COP,ConocoPhillips,Oil & Gas Exploration & Production,EP,yes,
4,WMB,Williams Companies,Oil & Gas Storage & Transportation,MID,no,
5,EOG,EOG Resources,Oil & Gas Exploration & Production,EP,yes,
6,KMI,Kinder Morgan,Oil & Gas Storage & Transportation,MID,no,
7,OKE,ONEOK,Oil & Gas Storage & Transportation,MID,no,
8,SLB,Schlumberger,Oil & Gas Equipment & Services,SVC,no,
9,MPC,Marathon Petroleum,Oil & Gas Refining & Marketing,REF,no,
10,PSX,Phillips 66,Oil & Gas Refining & Marketing,REF,no,
11,TRGP,Targa Resources,Oil & Gas Storage & Transportation,MID,no,
12,VLO,Valero Energy,Oil & Gas Refining & Marketing,REF,no,
13,OXY,Occidental Petroleum,Oil & Gas Exploration & Production,EP,yes,
14,FANG,Diamondback Energy,Oil & Gas Exploration & Production,EP,yes,
15,BKR,Baker Hughes,Oil & Gas Equipment & Services,SVC,no,
16,EXE,Expand Energy,Oil & Gas Exploration & Production,EP,yes,former Chesapeake + Southwestern
17,HAL,Halliburton,Oil & Gas Equipment & Services,SVC,no,
18,EQT,EQT Corporation,Oil & Gas Exploration & Production,EP,yes,
19,DVN,Devon Energy,Oil & Gas Exploration & Production,EP,yes,
20,CTRA,Coterra Energy,Oil & Gas Exploration & Production,EP,yes,VERIFY still in index
21,APA,APA Corporation,Oil & Gas Exploration & Production,EP,yes,drop if we want exactly 20
22,TPL,Texas Pacific Land,Oil & Gas Exploration & Production,EP,royalty,royalty company not an operator; drop first
