ticker,company,gics_sector,cik,sec_name,naics,eeio_naics,eeio_title,revenue_usd,revenue_tag,market_cap_usd,disclosed_full,disclosed_equity,n_facilities,n_with_data,ghgrp_matched,eeio_with,eeio_without,note
XOM,Exxon Mobil,Energy,0002115436,ExxonMobil Holdings Corp,324110,324110,Petroleum Refineries,,,,391571974.6019957,380669078.18226016,130,64,EXXON,0.27,0.248,huge disclosed Scope 1; expect robustly dirty
CVX,Chevron,Energy,0000093410,CHEVRON CORP,324110,324110,Petroleum Refineries,196913000000,RevenueFromContractWithCustomerExcludingAssessedTax,,206551725.5313738,199098789.28256258,92,55,CHEVRON,0.27,0.248,refining + upstream
OKE,ONEOK,Energy,0001039684,ONEOK INC /NEW/,486210,486210,Pipeline Transportation of Natural Gas,17677000000,RevenueFromContractWithCustomerExcludingAssessedTax,,84364928.356,75252960.7306,56,39,ONEOK,1.619,1.619,midstream pipelines
NUE,Nucor,Materials,0000073309,NUCOR CORP,331110,331110,Iron and Steel Mills and Ferroalloy Manufacturing,34714000000,RevenueFromContractWithCustomerExcludingAssessedTax,,5761770.626,5497406.23368,26,26,NUCOR,0.787,0.769,VERIFIED 26 facilities 5762209 t 2023
DOW,Dow,Materials,0001751788,DOW INC.,325110,325110,Petrochemical Manufacturing,44622000000,Revenues,,,,1,0,DOW CHEMICAL,0.811,0.794,petrochemicals
SHW,Sherwin-Williams,Materials,0000089800,SHERWIN WILLIAMS CO,325510,325510,Paint and Coating Manufacturing,23051900000,RevenueFromContractWithCustomerExcludingAssessedTax,,,,1,0,SHERWIN,0.291,0.264,coatings; lighter industry
UNP,Union Pacific,Industrials,0000100885,UNION PACIFIC CORP,482111,482111,Line-Haul Railroads,24119000000,RevenueFromContractWithCustomerExcludingAssessedTax,,,,0,0,UNION PACIFIC,0.466,0.466,diesel fleet; Scope 1 heavy
CAT,Caterpillar,Industrials,0000018230,CATERPILLAR INC,333120,333120,Construction Machinery Manufacturing,67060000000,Revenues,,456901.738,456901.738,8,7,CATERPILLAR,0.228,0.201,use-phase Scope 3 dominant
DE,Deere,Industrials,0000315189,DEERE & CO,333111,333111,Farm Machinery and Equipment Manufacturing,61251000000,Revenues,,45075.880000000005,45075.880000000005,3,1,DEERE,0.22,0.191,use-phase Scope 3 dominant
F,Ford Motor,Consumer Discretionary,0000037996,FORD MOTOR CO,336111,336111,Automobile Manufacturing,176191000000,RevenueFromContractWithCustomerExcludingAssessedTax,,497625.124,497625.124,15,10,FORD MOTOR,0.24,0.19,VERIFIED 16 facilities 497625 t 2023
GM,General Motors,Consumer Discretionary,0001467858,General Motors Co,336111,336111,Automobile Manufacturing,157658000000,RevenueFromContractWithCustomerExcludingAssessedTax,,598855.552,598855.552,18,14,GENERAL MOTORS,0.24,0.19,peer to Ford
AMZN,Amazon,Consumer Discretionary,0001018724,AMAZON COM INC,454110,454110,Electronic Shopping and Mail-Order Houses,574785000000,RevenueFromContractWithCustomerExcludingAssessedTax,,,,0,0,AMAZON,0.094,0.094,logistics + data centres
WMT,Walmart,Consumer Staples,0000104169,Walmart Inc.,452311,452311,Warehouse Clubs and Supercenters,642637000000,RevenueFromContractWithCustomerExcludingAssessedTax,,,,1,0,WAL-MART,0.164,0.164,VERIFIED no emissions figure; supplier subparts only
PG,Procter & Gamble,Consumer Staples,0000080424,PROCTER & GAMBLE Co,325610,,,82006000000,Revenues,,1692217.844,1676670.236144,10,10,PROCTER,,,consumer goods supply chain
KO,Coca-Cola,Consumer Staples,0000021344,COCA COLA CO,312111,312111,Soft Drink Manufacturing,45754000000,Revenues,,,,0,0,COCA COLA,0.214,0.173,bottling is franchised; boundary games
LLY,Eli Lilly,Health Care,0000059478,ELI LILLY & Co,325412,325412,Pharmaceutical Preparation Manufacturing,34124000000,Revenues,,47574.076,47574.076,1,1,LILLY,0.099,0.045,pharma manufacturing
UNH,UnitedHealth,Health Care,0000731766,UNITEDHEALTH GROUP INC,524114,524114,Direct Health and Medical Insurance Carriers,371622000000,Revenues,,,,0,0,UNITEDHEALTH,0.033,0.033,insurer; almost no Scope 1
JNJ,Johnson & Johnson,Health Care,0000200406,JOHNSON & JOHNSON,325412,325412,Pharmaceutical Preparation Manufacturing,85159000000,RevenueFromContractWithCustomerExcludingAssessedTax,,165236.40800000002,105133.3959,7,4,JOHNSON,0.099,0.045,pharma + devices
JPM,JPMorgan Chase,Financials,0000019617,JPMORGAN CHASE & CO,522110,522110,Commercial Banking,158104000000,Revenues,,,,1,0,JP MORGAN,0.059,0.059,VERIFIED zero GHGRP rows 2023
BAC,Bank of America,Financials,0000070858,BANK OF AMERICA CORP /DE/,522110,522110,Commercial Banking,102769000000,Revenues,,,,0,0,BANK OF AMERICA,0.059,0.059,peer to JPM
GS,Goldman Sachs,Financials,0000886982,GOLDMAN SACHS GROUP INC,523110,523110,Investment Banking and Securities Dealing,46254000000,RevenuesNetOfInterestExpense,,52140.304,15642.091199999999,1,1,GOLDMAN,0.043,0.043,investment bank
