ticker,facility_id,facility_name,state,naics,share,co2e_t,parent_company
XOM,1001874,BPXA GATHERING CENTER #2,AK,211111,0.364,,EXXON MOBIL CORP (36.4%); CONOCOPHILLIPS (36.1%); BP AMERICA INC (26.4%); CHEVRON CORP (1.2%)
XOM,1013842,PHP Junction Compressor Station,TX,486210,0.1999,127570.124,APA CORP (26.67%); EAGLECLAW MIDSTREAM SERVICES LLC (26.67%); KINDER MORGAN INC (26.67%); EXXON MOBIL CORP (19.99%)
XOM,1001799,BPXA FLOW STATION #1,AK,211111,0.364,,EXXON MOBIL CORP (36.4%); CONOCOPHILLIPS (36.1%); BP AMERICA INC (26.4%); CHEVRON CORP (1.2%)
XOM,1004142,XTO - Midpt Station,TX,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1001875,BPXA GATHERING CENTER #3,AK,211111,0.364,,EXXON MOBIL CORP (36.4%); CONOCOPHILLIPS (36.1%); BP AMERICA INC (26.4%); CHEVRON CORP (1.2%)
XOM,1005393,XTO - Chandler Station,TX,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1002672,Trawick Central Station,TX,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1013843,PHP 285 Compressor Station,TX,486210,0.2,125913.78,APA CORP (26.67%); EAGLECLAW MIDSTREAM SERVICES LLC (26.67%); KINDER MORGAN INC (26.67%); EXXON MOBIL CORP (20%)
XOM,1003484,EXXONMOBIL CHEMICAL CO - BATON ROUGE PLASTICS PLANT,LA,325211,1.0,74312.72,EXXON MOBIL CORP (100%)
XOM,1007643,EXXONMOBIL BATON ROUGE REFINERY AND CHEMICAL PLANT,LA,324110,1.0,86892465.7651042,EXXON MOBIL CORP (100%)
XOM,1006274,EXXONMOBIL CHEMICAL MONT BELVIEU PLASTICS PLANT,TX,325211,1.0,93204.2,EXXON MOBIL CORP (100%)
XOM,1005858,DENVER UNIT CO 2 RECOVERY PLANT,TX,211120,0.12,99720.708,OCCIDENTAL PETROLEUM CORP (53%); CHEVRON CORP (17%); CONOCOPHILLIPS (14%); EXXON MOBIL CORP (12%); ARIEL EXPLORATION INC (1%); COTERRA ENERGY INC (1%); DEVON ENERGY CORP (1%); PENROC OIL CORP (1%)
XOM,1002676,Hawkins Gas Plant,TX,211130,1.0,81902.41399999999,EXXON MOBIL CORP (100%)
XOM,1012581,XTO Energy Inc 595 Piceance  GB,NM,211130,1.0,,EXXON MOBIL CORP (100%)
XOM,1012552,XTO Energy Inc 350 South Oklahoma Folded Belt  GB,OK,211130,1.0,258975.742,EXXON MOBIL CORP (100%)
XOM,1002735,EAST VACUUM LIQUID RECOVERY PLANT/CO2 PLANT,NM,211120,0.38,17375.132,MARATHON OIL CORP (5%); CONOCOPHILLIPS (46%); EXXON MOBIL CORP (38%); APA CORP (11%)
XOM,1013841,PHP Big Lake Compressor Station,TX,486210,0.1999,136720.212,APA CORP (26.67%); EAGLECLAW MIDSTREAM SERVICES LLC (26.67%); KINDER MORGAN INC (26.67%); EXXON MOBIL CORP (19.99%)
XOM,1012546,XTO Energy Inc 507 Central Western Overthrust  GB,OK,211130,1.0,2090.75,EXXON MOBIL CORP (100%)
XOM,1009388,XTO Energy Inc 420 Fort Worth Syncline,TX,211130,1.0,,EXXON MOBIL CORP (100%)
XOM,1007959,Exxonmobil Beaumont Refinery,TX,324110,1.0,89058741.80501021,EXXON MOBIL CORP (100%)
XOM,1005405,XTO - Kindon Station,TX,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1011100,"Cross Timbers Energy, LLC - San Juan Basin 580",TX,211130,0.5,17887.192,EXXON MOBIL CORP (50%); MORNINGSTAR PARTNERS LP (50%)
XOM,1010591,XTO Stonefly Compressor Station,AR,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1010913,XTO - Jefferson Township Station,PA,211111,1.0,,EXXONMOBIL CORP (100%)
XOM,1012596,XTO Energy Inc 220 Gulf Coast  GB,TX,211130,1.0,64725.03,EXXON MOBIL CORP (100%)
XOM,1012568,XTO Energy Inc 395 Williston  GB,ND,211130,1.0,101784.242,EXXON MOBIL CORP (100%)
XOM,1014396,Cowboy CDP,NM,211120,1.0,73088.92,EXXON MOBIL CORP (100%)
