ticker,company,sector,specs_ranked,specs_total,consensus_rank,contestation_iqr,rank_min,rank_max,rank_range,disclosed_t,modelled_t,revenue_usd,modelled_over_disclosed
XOM,Exxon Mobil,Energy,0,48,,,,,,391571974.6019957,,,
CVX,Chevron,Energy,24,48,7.0,16.0,1,23,22,206551725.5313738,53166510.0,196913000000.0,0.2574004640398144
OKE,ONEOK,Energy,24,48,9.0,20.0,2,26,24,84364928.356,28619063.0,17677000000.0,0.3392293878237451
NUE,Nucor,Materials,24,48,7.0,16.0,1,20,19,5761770.626,27319918.0,34714000000.0,4.7415837549517885
DOW,Dow,Materials,20,48,10.5,18.0,2,22,20,,36188442.0,44622000000.0,
SHW,Sherwin-Williams,Materials,20,48,10.5,17.0,1,20,19,,6708102.9,23051900000.0,
UNP,Union Pacific,Industrials,20,48,11.0,16.0,3,21,18,,11239454.0,24119000000.0,
CAT,Caterpillar,Industrials,24,48,5.5,8.25,2,16,14,456901.738,15289680.0,67060000000.0,33.46382543197942
DE,Deere,Industrials,24,48,1.5,3.75,1,15,14,45075.880000000005,13475220.0,61251000000.0,298.9452452176197
F,Ford Motor,Consumer Discretionary,24,48,4.5,6.75,1,15,14,497625.124,42285840.0,176191000000.0,84.97529156104264
GM,General Motors,Consumer Discretionary,24,48,5.5,6.75,2,16,14,598855.552,37837920.0,157658000000.0,63.18371746514258
AMZN,Amazon,Consumer Discretionary,20,48,4.5,8.0,1,21,20,,54029790.0,574785000000.0,
WMT,Walmart,Consumer Staples,20,48,6.0,9.0,1,22,21,,105392468.0,642637000000.0,
PG,Procter & Gamble,Consumer Staples,16,48,6.5,9.0,1,23,22,1692217.844,,82006000000.0,
KO,Coca-Cola,Consumer Staples,20,48,7.0,9.0,2,23,21,,9791356.0,45754000000.0,
LLY,Eli Lilly,Health Care,24,48,2.5,2.25,1,7,6,47574.076,3378276.0,34124000000.0,71.01085893922564
UNH,UnitedHealth,Health Care,20,48,1.0,2.0,1,24,23,,12263526.0,371622000000.0,
JNJ,Johnson & Johnson,Health Care,24,48,3.5,2.25,2,8,6,165236.40800000002,8430741.0,85159000000.0,51.02229649049257
JPM,JPMorgan Chase,Financials,20,48,3.0,4.0,2,25,23,,9328136.0,158104000000.0,
BAC,Bank of America,Financials,20,48,4.0,4.0,3,26,23,,6063371.0,102769000000.0,
GS,Goldman Sachs,Financials,24,48,1.5,1.25,1,3,2,52140.304,1988921.9999999998,46254000000.0,38.14557736372231
AAPL,Apple,Information Technology,24,48,4.5,8.5,1,11,10,11059249.782,42544635.0,383285000000.0,3.8469729718235963
MSFT,Microsoft,Information Technology,8,48,13.5,22.0,2,27,25,,,211915000000.0,
NVDA,NVIDIA,Information Technology,20,48,7.5,10.0,2,28,26,,13098230.0,60922000000.0,
META,Meta Platforms,Communication Services,8,48,14.0,23.25,2,29,27,,,134902000000.0,
GOOGL,Alphabet,Communication Services,16,48,1.0,0.5,1,26,25,56418.04,,307394000000.0,
DIS,Walt Disney,Communication Services,24,48,2.5,3.5,1,6,5,219040.326,4622696.0,88898000000.0,21.10431482831157
DUK,Duke Energy,Utilities,16,48,8.5,15.5,1,27,26,109686644.2212,,28674000000.0,
NEE,NextEra Energy,Utilities,16,48,8.0,15.5,1,28,27,53653265.4536,,24800000000.0,
SO,Southern Company,Utilities,16,48,10.0,16.5,3,29,26,138576856.5844,,25253000000.0,
