facility_id,facility_name,state,naics_code,nucor_ownership_share,co2e_tonnes_2023
1010766,Nucor Steel Louisiana LLC,LA,331110,1.0,1086837.352
1002266,NUCOR STEEL - BERKELEY,SC,331110,1.0,598948.496
1005976,NUCOR STEEL DECATUR,AL,331110,1.0,452134.224
1005700,Nucor Steel Gallatin LLC,KY,331110,1.0,378215.976
1007642,NUCOR-YAMATO STEEL CO,AR,331110,0.51,375509.336
1007921,NUCOR STEEL - ARKANSAS,AR,331110,1.0,372388.688
1004151,NUCOR STEEL INDIANA,IN,331110,1.0,255383.486
1005777,NUCOR STEEL - UTAH,UT,331110,1.0,243940.236
1002958,NUCOR STEEL HERTFORD COUNTY,NC,331110,1.0,216465.792
1003457,"Nucor Steel Tuscaloosa, Inc.",AL,331110,1.0,199906.166
1007695,NUCOR STEEL NEBRASKA,NE,331110,1.0,190236.48
1007946,NUCOR STEEL DARLINGTON,SC,331110,1.0,185439.386
1005832,NUCOR STEEL-TEXAS,TX,331110,1.0,181047.508
1006761,CALIFORNIA STEEL INDUSTRIES INC,CA,331221,0.51,163982.332
1003093,NUCOR STEEL MEMPHIS INC,TN,331110,1.0,141215.124
1002621,"NUCOR STEEL KANKAKEE, INC.",IL,331110,1.0,120039.714
1006144,NUCOR STEEL JACKSON INC,MS,331110,1.0,81932.32
1000029,NUCOR STEEL SEATTLE INC,WA,331110,1.0,82395.852
1006341,NUCOR STEEL AUBURN INC,NY,331110,1.0,80823.032
1004152,NUCOR STEEL BIRMINGHAM INC,AL,331110,1.0,78877.922
1007577,"NUCOR STEEL MARION, INC.",OH,331110,1.0,67861.856
1014582,Nucor Steel Brandenburg,KY,331110,1.0,64554.204
1012352,Nucor Steel Longview,TX,331110,1.0,59004.584
1013487,Nucor Steel Florida Inc.,FL,331110,1.0,35052.99
1013719,"Nucor Steel Sedalia, LLC",MO,331110,1.0,25759.784
1013493,Nucor Fastener Indiana,IN,332312,1.0,24256.208

TOTAL_100PCT_CONSOLIDATION,,,,,5762209.048
TOTAL_EQUITY_SHARE,,,,,5497858.131
