,BKR,COP,CTRA,CVX,DVN,EOG,EXE,FANG,HAL,KMI,MPC,OXY,PSX,SLB,TRGP,VLO,WMB,XOM
BKR,,0.719,0.545,0.794,0.786,0.553,0.488,0.895,0.872,0.825,0.758,0.708,0.777,0.753,0.892,0.695,0.81,0.749
COP,0.281,,0.27,0.649,0.627,0.304,0.16,0.883,0.777,0.58,0.567,0.469,0.588,0.389,0.587,0.32,0.552,0.576
CTRA,0.455,0.73,,0.838,0.901,0.495,0.362,0.958,0.885,0.733,0.753,0.81,0.809,0.549,0.739,0.552,0.72,0.722
CVX,0.206,0.351,0.162,,0.484,0.292,0.122,0.822,0.719,0.47,0.489,0.419,0.51,0.307,0.509,0.239,0.455,0.39
DVN,0.214,0.373,0.099,0.516,,0.261,0.111,0.839,0.734,0.48,0.513,0.411,0.503,0.308,0.487,0.274,0.464,0.388
EOG,0.447,0.696,0.505,0.708,0.739,,0.402,0.861,0.771,0.667,0.612,0.488,0.699,0.537,0.711,0.48,0.64,0.748
EXE,0.512,0.84,0.638,0.878,0.889,0.598,,0.998,0.832,0.715,0.66,0.715,0.792,0.654,0.757,0.614,0.698,0.883
FANG,0.105,0.117,0.042,0.178,0.161,0.139,0.002,,0.563,0.273,0.336,0.275,0.315,0.163,0.321,0.124,0.278,0.165
HAL,0.128,0.223,0.115,0.281,0.266,0.229,0.168,0.437,,0.293,0.327,0.303,0.4,0.236,0.446,0.212,0.374,0.242
KMI,0.175,0.42,0.267,0.53,0.52,0.333,0.285,0.727,0.707,,0.52,0.492,0.512,0.312,0.589,0.204,0.492,0.428
MPC,0.242,0.433,0.247,0.511,0.487,0.388,0.34,0.664,0.673,0.48,,0.446,0.48,0.358,0.591,0.275,0.448,0.467
OXY,0.292,0.531,0.19,0.581,0.589,0.512,0.285,0.725,0.697,0.508,0.554,,0.548,0.371,0.545,0.353,0.494,0.537
PSX,0.223,0.412,0.191,0.49,0.497,0.301,0.208,0.685,0.6,0.488,0.52,0.452,,0.298,0.523,0.227,0.487,0.401
SLB,0.247,0.611,0.451,0.693,0.692,0.463,0.346,0.837,0.764,0.688,0.642,0.629,0.702,,0.702,0.481,0.674,0.642
TRGP,0.108,0.413,0.261,0.491,0.513,0.289,0.243,0.679,0.554,0.411,0.409,0.455,0.477,0.298,,0.188,0.426,0.424
VLO,0.305,0.68,0.448,0.761,0.726,0.52,0.386,0.876,0.788,0.796,0.725,0.647,0.773,0.519,0.812,,0.8,0.698
WMB,0.19,0.448,0.28,0.545,0.536,0.36,0.302,0.722,0.626,0.508,0.552,0.506,0.513,0.326,0.574,0.2,,0.486
XOM,0.251,0.424,0.278,0.61,0.612,0.252,0.117,0.835,0.758,0.572,0.533,0.463,0.599,0.358,0.576,0.302,0.514,
