polarity,inclusion,missing,aggregator,base,window,direction,normalizer,peerset,BKR,COP,CTRA,CVX,DVN,EOG,EXE,FANG,HAL,KMI,MPC,OXY,PSX,SLB,TRGP,VLO,WMB,XOM
orthodox,permissive,exclude,arithmetic,ebitda,latest,level,percentile,subgroup,58.82,64.71,76.47,17.65,29.41,100.0,88.24,5.88,11.76,23.53,47.06,0.0,52.94,94.12,82.35,41.18,35.29,70.59
orthodox,permissive,exclude,pmean05,ebitda,latest,level,percentile,subgroup,58.82,70.59,82.35,35.29,52.94,100.0,88.24,11.76,0.0,17.65,29.41,5.88,47.06,94.12,76.47,23.53,41.18,64.71
orthodox,permissive,exclude,geometric,ebitda,latest,level,percentile,subgroup,41.18,76.47,82.35,52.94,64.71,100.0,94.12,11.76,0.0,17.65,23.53,5.88,35.29,88.24,58.82,29.41,47.06,70.59
orthodox,permissive,worst,arithmetic,ebitda,latest,level,percentile,subgroup,58.82,64.71,76.47,17.65,23.53,100.0,94.12,5.88,11.76,35.29,52.94,0.0,47.06,88.24,82.35,29.41,41.18,70.59
orthodox,permissive,worst,pmean05,ebitda,latest,level,percentile,subgroup,58.82,82.35,76.47,29.41,41.18,100.0,94.12,11.76,5.88,23.53,35.29,0.0,47.06,88.24,70.59,17.65,52.94,64.71
orthodox,permissive,worst,geometric,ebitda,latest,level,percentile,subgroup,47.06,82.35,76.47,41.18,52.94,100.0,94.12,11.76,0.0,23.53,29.41,5.88,35.29,88.24,64.71,17.65,58.82,70.59
orthodox,permissive,cap,arithmetic,ebitda,latest,level,percentile,subgroup,58.82,64.71,76.47,17.65,29.41,100.0,88.24,5.88,11.76,23.53,52.94,0.0,47.06,94.12,82.35,35.29,41.18,70.59
orthodox,permissive,cap,pmean05,ebitda,latest,level,percentile,subgroup,58.82,70.59,82.35,35.29,41.18,100.0,94.12,11.76,0.0,17.65,29.41,5.88,47.06,88.24,76.47,23.53,52.94,64.71
orthodox,permissive,cap,geometric,ebitda,latest,level,percentile,subgroup,41.18,76.47,82.35,47.06,58.82,100.0,94.12,11.76,0.0,17.65,23.53,5.88,35.29,88.24,64.71,29.41,52.94,70.59
orthodox,majority,exclude,arithmetic,ebitda,latest,level,percentile,subgroup,52.94,58.82,76.47,17.65,29.41,100.0,88.24,5.88,11.76,23.53,70.59,0.0,41.18,94.12,82.35,47.06,35.29,64.71
orthodox,majority,exclude,pmean05,ebitda,latest,level,percentile,subgroup,52.94,70.59,82.35,23.53,58.82,100.0,94.12,11.76,0.0,17.65,35.29,5.88,41.18,88.24,76.47,29.41,47.06,64.71
orthodox,majority,exclude,geometric,ebitda,latest,level,percentile,subgroup,41.18,76.47,82.35,52.94,70.59,100.0,94.12,11.76,0.0,17.65,29.41,5.88,35.29,88.24,64.71,23.53,47.06,58.82
orthodox,majority,worst,arithmetic,ebitda,latest,level,percentile,subgroup,52.94,58.82,76.47,17.65,29.41,100.0,88.24,5.88,11.76,23.53,70.59,0.0,41.18,94.12,82.35,47.06,35.29,64.71
orthodox,majority,worst,pmean05,ebitda,latest,level,percentile,subgroup,58.82,70.59,82.35,23.53,41.18,100.0,94.12,11.76,5.88,17.65,35.29,0.0,47.06,88.24,76.47,29.41,52.94,64.71
orthodox,majority,worst,geometric,ebitda,latest,level,percentile,subgroup,41.18,76.47,82.35,52.94,58.82,100.0,94.12,11.76,0.0,17.65,29.41,5.88,35.29,88.24,70.59,23.53,47.06,64.71
orthodox,majority,cap,arithmetic,ebitda,latest,level,percentile,subgroup,52.94,58.82,76.47,17.65,29.41,100.0,88.24,5.88,11.76,23.53,70.59,0.0,41.18,94.12,82.35,47.06,35.29,64.71
orthodox,majority,cap,pmean05,ebitda,latest,level,percentile,subgroup,52.94,70.59,82.35,23.53,58.82,100.0,94.12,11.76,5.88,17.65,35.29,0.0,41.18,88.24,76.47,29.41,47.06,64.71
orthodox,majority,cap,geometric,ebitda,latest,level,percentile,subgroup,41.18,76.47,82.35,52.94,70.59,100.0,94.12,11.76,0.0,17.65,29.41,5.88,35.29,88.24,64.71,23.53,47.06,58.82
orthodox,strict,exclude,arithmetic,ebitda,latest,level,percentile,subgroup,58.82,70.59,76.47,29.41,17.65,88.24,94.12,5.88,0.0,23.53,35.29,11.76,52.94,100.0,82.35,64.71,41.18,47.06
orthodox,strict,exclude,pmean05,ebitda,latest,level,percentile,subgroup,52.94,76.47,82.35,35.29,23.53,94.12,88.24,5.88,0.0,11.76,29.41,17.65,58.82,100.0,70.59,41.18,64.71,47.06
orthodox,strict,exclude,geometric,ebitda,latest,level,percentile,subgroup,41.18,76.47,82.35,70.59,29.41,94.12,88.24,11.76,0.0,5.88,17.65,23.53,58.82,100.0,52.94,35.29,64.71,47.06
orthodox,strict,worst,arithmetic,ebitda,latest,level,percentile,subgroup,58.82,70.59,76.47,29.41,17.65,88.24,94.12,5.88,0.0,23.53,35.29,11.76,52.94,100.0,82.35,64.71,41.18,47.06
orthodox,strict,worst,pmean05,ebitda,latest,level,percentile,subgroup,52.94,76.47,82.35,35.29,23.53,94.12,88.24,5.88,0.0,11.76,29.41,17.65,58.82,100.0,70.59,41.18,64.71,47.06
orthodox,strict,worst,geometric,ebitda,latest,level,percentile,subgroup,41.18,76.47,82.35,70.59,29.41,94.12,88.24,11.76,0.0,5.88,17.65,23.53,58.82,100.0,52.94,35.29,64.71,47.06
orthodox,strict,cap,arithmetic,ebitda,latest,level,percentile,subgroup,58.82,70.59,76.47,29.41,17.65,88.24,94.12,5.88,0.0,23.53,35.29,11.76,52.94,100.0,82.35,64.71,41.18,47.06
orthodox,strict,cap,pmean05,ebitda,latest,level,percentile,subgroup,52.94,76.47,82.35,35.29,23.53,94.12,88.24,5.88,0.0,11.76,29.41,17.65,58.82,100.0,70.59,41.18,64.71,47.06
orthodox,strict,cap,geometric,ebitda,latest,level,percentile,subgroup,41.18,76.47,82.35,70.59,29.41,94.12,88.24,11.76,0.0,5.88,17.65,23.53,58.82,100.0,52.94,35.29,64.71,47.06
