ticker,total_sd,base,window,direction,normalizer,peerset,polarity,inclusion,missing,aggregator,pivot_axis,pivot_pct
BKR,22.99,1.4,3.9,13.1,2.4,21.6,0.2,2.4,1.0,0.1,peerset,21.6
COP,22.7,3.9,0.6,20.3,12.6,10.9,0.1,1.4,4.6,2.2,direction,20.3
CTRA,24.21,4.8,20.2,9.7,10.8,4.4,0.3,2.2,0.1,0.1,window,20.2
CVX,22.81,2.1,5.6,0.5,4.8,6.0,0.0,0.6,8.2,0.8,missing,8.2
DVN,23.14,4.7,6.2,0.7,2.1,31.9,0.5,2.2,0.5,0.5,peerset,31.9
EOG,32.4,0.9,0.6,60.2,1.8,3.6,0.0,0.6,0.5,0.0,direction,60.2
EXE,24.91,2.1,4.5,33.6,0.7,7.1,0.8,2.8,0.0,0.5,direction,33.6
FANG,19.07,2.7,2.7,0.2,1.1,19.9,0.3,12.1,4.2,0.1,peerset,19.9
HAL,29.45,0.1,0.0,20.5,0.1,14.4,1.3,1.2,0.9,0.2,direction,20.5
KMI,27.84,2.4,4.8,4.0,4.1,11.0,0.1,1.5,7.6,0.5,peerset,11.0
MPC,31.46,3.3,0.8,49.4,0.4,8.3,0.0,1.8,0.0,0.0,direction,49.4
OXY,31.29,0.2,0.3,37.8,0.3,17.4,0.3,9.6,0.9,0.0,direction,37.8
PSX,27.51,1.0,0.1,9.3,0.7,5.0,0.1,1.4,0.2,0.0,direction,9.3
SLB,26.6,0.0,2.6,26.5,2.4,16.9,3.4,3.0,0.0,0.0,direction,26.5
TRGP,28.08,1.2,0.5,3.4,5.0,25.8,0.1,4.6,5.5,0.2,peerset,25.8
VLO,23.64,0.5,2.9,0.4,5.2,9.9,1.3,8.5,10.8,0.5,missing,10.8
WMB,32.21,0.5,10.8,9.0,1.3,12.6,0.0,10.2,3.2,0.0,peerset,12.6
XOM,24.81,0.2,0.9,29.4,4.3,8.9,0.1,2.4,5.1,0.2,direction,29.4
