ticker,peer_group,n_scores,consensus,contestation,p25,p75,rank_min,rank_max,range,positions,coverage_pct,verdict
BKR,Oilfield Services & Equipment,17496,82.4,35.3,58.8,94.1,0.0,100.0,100.0,6.0,78.4,opinion
EXE,Exploration & Production,17496,82.4,35.3,58.8,94.1,5.9,100.0,94.1,6.0,91.4,opinion
CTRA,Exploration & Production,17496,76.5,41.2,52.9,94.1,0.0,100.0,100.0,7.0,80.6,opinion
VLO,Refining & Marketing,17496,70.6,29.4,52.9,82.4,0.0,100.0,100.0,5.0,77.0,opinion
EOG,Exploration & Production,17496,70.6,58.8,35.3,94.1,0.0,100.0,100.0,10.0,89.9,opinion
SLB,Oilfield Services & Equipment,17496,64.7,41.2,41.2,82.4,0.0,100.0,100.0,7.0,77.7,opinion
COP,Exploration & Production,17496,52.9,35.3,35.3,70.6,0.0,100.0,100.0,6.0,92.8,opinion
OXY,Exploration & Production,17496,47.1,58.8,17.6,76.5,0.0,100.0,100.0,10.0,92.1,opinion
XOM,Integrated Oils,17496,47.1,35.3,29.4,64.7,0.0,100.0,100.0,6.0,99.3,opinion
MPC,Refining & Marketing,17496,41.2,52.9,17.6,70.6,0.0,100.0,100.0,9.0,79.1,opinion
PSX,Refining & Marketing,17496,41.2,47.1,17.6,64.7,0.0,100.0,100.0,8.0,77.0,opinion
TRGP,Midstream,17496,41.2,52.9,11.8,64.7,0.0,100.0,100.0,9.0,74.1,opinion
WMB,Midstream,17496,41.2,64.7,11.8,76.5,0.0,100.0,100.0,11.0,74.8,opinion
KMI,Midstream,17496,41.2,41.2,23.5,64.7,0.0,100.0,100.0,7.0,75.5,opinion
DVN,Exploration & Production,17496,35.3,35.3,23.5,58.8,0.0,100.0,100.0,6.0,89.2,opinion
CVX,Integrated Oils,17496,35.3,35.3,23.5,58.8,0.0,100.0,100.0,6.0,97.1,opinion
HAL,Oilfield Services & Equipment,17496,17.6,41.2,0.0,41.2,0.0,100.0,100.0,7.0,78.4,opinion
FANG,Exploration & Production,17496,17.6,23.5,5.9,29.4,0.0,94.1,94.1,4.0,91.4,opinion
