company,subgroup,spec_id,base,window,direction,normalizer,peerset,weighting,rank_pct
CO-01,G1,0,revenue,latest,level,percentile,subgroup,equal,21.0526
CO-01,G1,0,revenue,latest,level,percentile,subgroup,env_led,36.8421
CO-01,G1,0,revenue,latest,level,percentile,subgroup,social_led,31.5789
CO-01,G1,0,revenue,latest,level,percentile,subgroup,finance_led,10.5263
CO-01,G1,1,revenue,latest,level,percentile,sector,equal,42.1053
CO-01,G1,1,revenue,latest,level,percentile,sector,env_led,42.1053
CO-01,G1,1,revenue,latest,level,percentile,sector,social_led,36.8421
CO-01,G1,1,revenue,latest,level,percentile,sector,finance_led,47.3684
CO-01,G1,2,revenue,latest,level,winsor_minmax,subgroup,equal,21.0526
CO-01,G1,2,revenue,latest,level,winsor_minmax,subgroup,env_led,26.3158
CO-01,G1,2,revenue,latest,level,winsor_minmax,subgroup,social_led,26.3158
CO-01,G1,2,revenue,latest,level,winsor_minmax,subgroup,finance_led,10.5263
CO-01,G1,3,revenue,latest,level,winsor_minmax,sector,equal,31.5789
CO-01,G1,3,revenue,latest,level,winsor_minmax,sector,env_led,36.8421
CO-01,G1,3,revenue,latest,level,winsor_minmax,sector,social_led,31.5789
CO-01,G1,3,revenue,latest,level,winsor_minmax,sector,finance_led,31.5789
CO-01,G1,4,revenue,latest,level,log_minmax,subgroup,equal,15.7895
CO-01,G1,4,revenue,latest,level,log_minmax,subgroup,env_led,21.0526
CO-01,G1,4,revenue,latest,level,log_minmax,subgroup,social_led,21.0526
CO-01,G1,4,revenue,latest,level,log_minmax,subgroup,finance_led,15.7895
CO-01,G1,5,revenue,latest,level,log_minmax,sector,equal,26.3158
CO-01,G1,5,revenue,latest,level,log_minmax,sector,env_led,31.5789
CO-01,G1,5,revenue,latest,level,log_minmax,sector,social_led,26.3158
CO-01,G1,5,revenue,latest,level,log_minmax,sector,finance_led,26.3158
CO-01,G1,6,revenue,latest,change,percentile,subgroup,equal,52.6316
CO-01,G1,6,revenue,latest,change,percentile,subgroup,env_led,57.8947
CO-01,G1,6,revenue,latest,change,percentile,subgroup,social_led,47.3684
CO-01,G1,6,revenue,latest,change,percentile,subgroup,finance_led,15.7895
CO-01,G1,7,revenue,latest,change,percentile,sector,equal,52.6316
CO-01,G1,7,revenue,latest,change,percentile,sector,env_led,57.8947
CO-01,G1,7,revenue,latest,change,percentile,sector,social_led,47.3684
CO-01,G1,7,revenue,latest,change,percentile,sector,finance_led,42.1053
CO-01,G1,8,revenue,latest,change,winsor_minmax,subgroup,equal,52.6316
CO-01,G1,8,revenue,latest,change,winsor_minmax,subgroup,env_led,57.8947
CO-01,G1,8,revenue,latest,change,winsor_minmax,subgroup,social_led,52.6316
CO-01,G1,8,revenue,latest,change,winsor_minmax,subgroup,finance_led,21.0526
