company,subgroup,consensus_rank_pct,spread_iqr,p25,p75,min,max,n_scores,coverage_pct,verdict
CO-04,G1,94.7,21.1,78.9,100.0,36.8,100.0,288,74.7,contested
CO-17,G4,89.5,15.8,78.9,94.7,57.9,100.0,288,77.3,contested
CO-20,G5,89.5,11.8,82.9,94.7,63.2,100.0,288,76.0,robust
CO-06,G2,84.2,10.5,78.9,89.5,52.6,100.0,288,84.7,robust
CO-19,G5,84.2,15.8,78.9,94.7,15.8,100.0,288,90.0,contested
CO-14,G3,73.7,26.3,57.9,84.2,0.0,100.0,288,50.7,opinion
CO-10,G2,63.2,10.5,57.9,68.4,5.3,100.0,288,83.3,robust
CO-05,G2,63.2,15.8,52.6,68.4,5.3,94.7,288,49.3,contested
CO-18,G5,52.6,15.8,42.1,57.9,0.0,73.7,288,82.0,contested
CO-09,G2,52.6,15.8,42.1,57.9,15.8,84.2,288,76.7,contested
CO-03,G1,42.1,26.3,26.3,52.6,0.0,84.2,288,72.7,opinion
CO-13,G3,36.8,36.8,21.1,57.9,0.0,100.0,288,91.3,opinion
CO-15,G4,36.8,15.8,26.3,42.1,0.0,73.7,288,85.3,contested
CO-07,G2,31.6,21.1,21.1,42.1,0.0,73.7,288,93.3,contested
CO-01,G1,31.6,26.3,21.1,47.4,0.0,84.2,288,80.7,opinion
CO-02,G1,21.1,15.8,10.5,26.3,0.0,84.2,288,77.3,contested
CO-11,G3,21.1,15.8,15.8,31.6,0.0,68.4,288,88.0,contested
CO-12,G3,21.1,36.8,10.5,47.4,0.0,100.0,288,66.0,opinion
CO-16,G4,5.3,10.5,0.0,10.5,0.0,84.2,288,72.7,robust
CO-08,G2,5.3,26.3,0.0,26.3,0.0,94.7,288,86.7,opinion
