ticker,peer_group,source_file,es_fields,g_fields
BKR,Oilfield Services & Equipment,BKR mat map.xlsx,44,115
CTRA,Exploration & Production,CTRA mat map.xlsx,78,98
CVX,Integrated Oils,Chevron mat map.xlsx,99,115
COP,Exploration & Production,Conoco mat map.xlsx,78,115
DVN,Exploration & Production,DVN mat map.xlsx,78,115
EOG,Exploration & Production,EOG mat map.xlsx,78,115
EXE,Exploration & Production,EXE mat map.xlsx,78,115
XOM,Integrated Oils,Exxon materiality map 2.xlsx,99,115
FANG,Exploration & Production,FANG mat map.xlsx,78,115
HAL,Oilfield Services & Equipment,HAL mat map.xlsx,44,115
KMI,Midstream,KMI mat map.xlsx,37,115
MPC,Refining & Marketing,MPC mat map.xlsx,50,115
OXY,Exploration & Production,OXY mat map.xlsx,78,115
PSX,Refining & Marketing,PSX mat map.xlsx,50,115
SLB,Oilfield Services & Equipment,SLB mat map.xlsx,44,115
TRGP,Midstream,TRGP mat map.xlsx,37,115
VLO,Refining & Marketing,VLO mat map.xlsx,50,115
WMB,Midstream,WMB mat map.xlsx,37,115
