,,,,,,,,,,,,,,,,,,,,,,,
Agentur-adjustierte Verschuldung — Replikation der veröffentlichten Methodiken,,,,,,,,,,,,,,,,,,,,,,,
"Näherung auf Basis der GAAP-Abschlüsse, nicht die publizierte Agenturkennzahl. Methodik siehe Sheet 'Legende'.",,,,,,,,,,,,,,,,,,,,,,,
Annahmen:,,Steuersatz Adjustments,,0.25,Equity-Credit Hybride,,0.5,Cash-Anrechnung S&P,,1,,,,,,,,,,,,,
,,,,,MOODY'S,,,,,S&P GLOBAL RATINGS,,,,,,,FITCH RATINGS,,,,,VERGLEICH,
Ticker,Unternehmen,Sektor,Finanz- schulden,Bereinigtes EBITDA,+ Operating- Leasing,+ Pensionen (n. Steuern),+ Hybride × EC,Moody's Adj. Debt,Moody's Adj. Debt/EBITDA,+ Operating- Leasing,+ Pensionen (n. Steuern),+ ARO (n. Steuern),+ Hybride × EC,− Liquide Mittel,S&P Adj. Debt,S&P Adj. Debt/EBITDA,+ Leasing,+ Hybride × EC,Fitch Adj. Debt (brutto),Fitch EBITDA Leverage,Fitch EBITDA Net Leverage,Reported Net Debt/EBITDA,Spanne (max−min)
XOM,Exxon Mobil Corp.,Integrated,43537,70870,6834,6635.25,0,57006.25,0.8043777338789333,6834,6635.25,9388.5,0,-10681,55713.75,0.7861401157048117,6834,0,50371,0.710752081275575,0.5600395089600677,0.4841447601084522,0.09362565260335831
CVX,Chevron Corp.,Integrated,50699,43507,5985,3083.25,0,59767.25,1.3737387087135404,5985,3083.25,11241,0,-7285,63723.25,1.464666605373848,5985,0,56684,1.3028708023996138,1.1354264830946743,1.0565073493624062,0.16179580297423413
COP,ConocoPhillips,E&P,23444,25554,950,726.75,0,25120.75,0.9830457071299992,950,726.75,6273,0,-6497,24896.75,0.9742799561712452,950,0,24394,0.9546059325350239,0.7003600219143774,0.6689957366177167,0.028439774594975264
EOG,EOG Resources,E&P,7936,11689,1199,0,0,9135,0.7815039780990675,1199,0,1177.5,0,-3396,6916.5,0.5917101548464369,1199,0,9135,0.7815039780990675,0.4909744203952434,0.41858749769500275,0.1897938232526306
OXY,Occidental Petroleum,E&P,22396,12478,955,738.75,4143.5,28233.25,2.262642250360635,955,738.75,3414.75,4143.5,-1968,29680,2.37858631190896,955,4143.5,27494.5,2.2034380509697065,2.0457204680237218,1.7400340715502556,0.1751482609392534
FANG,Diamondback Energy,E&P,14489,9956,0,0,0,14489,1.4553033346725592,0,0,406.5,0,-104,14791.5,1.4856870229007633,0,0,14489,1.4553033346725592,1.4448573724387304,2.2818845177664975,0.03038368822820403
EXE,Expand Energy,E&P,5009,5488,99,0,0,5108,0.9307580174927114,99,0,543,0,-616,5035,0.9174562682215743,99,0,5108,0.9307580174927114,0.8185131195335277,0.8059071729957806,0.013301749271137031
EQT,EQT Corp.,E&P,7800.3,6158.4,78.4,0,0,7878.7,1.2793420368926995,78.4,0,764.625,0,-110.8,8532.525000000001,1.3855100350740455,78.4,0,7878.7,1.2793420368926995,1.261350350740452,1.3144444444444445,0.10616799818134592
