,,,,,,,,,,,,,,,,,,,,,,,
Input — Finanzdaten FY2025 (USD Mio.),,,,,,,,,,,,,,,,,,,,,,,
"Quelle: SEC XBRL Companyfacts, 10-K zum 31.12.2025. Graue Spalten sind Formeln.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ticker,Unternehmen,Sektor,Qual.,Langfr. Finanzschulden,Kurzfr. Finanzschulden,Gesamt- verschuldung,Liquide Mittel,Netto- verschuldung,EBIT,D&A,EBITDA,Zins- aufwand,Operativer Cashflow,Capex,Free Cash Flow,Dividenden,Aktien- rückkäufe,Eigenkapital inkl. NCI,Fällig <24M,Eff. Steuer- quote,Reserven (MMboe),Produktion (MMboe/a),Quelle / Hinweis zu ergänzten Werten
XOM,Exxon Mobil Corp.,Integrated,V,34241,9296,43537,10681,32856,41871,25993,67864,603,51970,28358,23612,17231,20273,266626,11796,0.278763206358438,16500,1716,"Res: Schaetzung; SEC-Reservetabelle nur dimensional | Prod: Schaetzung: ~4,7 MMboe/d x 365"
CVX,Chevron Corp.,Integrated,V,39781,10918,50699,7285,43414,20960,20132,41092,1217,33939,17347,16592,12751,12079,192176,16641,0.367623967988654,10600,1278,"Res: 10-K FY2025: 10,6 Mrd. BOE zum 31.12.2025 | Prod: Schaetzung: ~3,5 MMboe/d x 365 (Hess ab Juli 2025)"
COP,ConocoPhillips,E&P,V*,22424,1020,23444,6497,16947,13832,11500,25332,1176,19796,12300,7496,3995,5018,64487,1806,0.368836915297092,8000,861,"Res: Schaetzung; YE2024 laut 8-K 7,8 Mrd. BOE | Prod: Guidance FY2025 2,36 MMboed x 365"
EOG,EOG Resources,E&P,V,7909,27,7936,3396,4540,6385,4461,10846,235,10044,6115,3929,2161,2564,29833,27,0.217227287016661,5514,420,"Res: 5.514 MMboe nach Encino-Akquisition | Prod: Schaetzung: ~1,15 MMboe/d x 365"
OXY,Occidental Petroleum,E&P,V,20623,1773,22396,1968,20428,4207,7533,11740,1079,10532,6427,4105,1594,0,36598,1773,0.326406649616368,4600,511,"STD: LongTermDebtAndCapitalLeaseObligationsCurrent | Mat24: nur kurzfristiger Anteil; Jahr-2-Faelligkeiten nicht getaggt | Res: 10-K FY2025: 4,6 Mrd. BOE | Prod: 1,4 MMboe/d x 365"
FANG,Diamondback Energy,E&P,V,13726,763,14489,104,14385,1266,5038,6304,244,8758,3523,5235,1156,2000,42967,2663,0.174493062966916,3618,336,"Res: ProvedDevelopedAndUndevelopedReserveNetEnergy (XBRL) | Prod: Schaetzung: ~0,92 MMboe/d x 365"
EXE,Expand Energy,E&P,V,5009,0,5009,616,4393,2471,2980,5451,235,4575,2736,1839,765,100,18578,0,0.202892199824715,4313,438,"Mat24: Schuldenspiegel: keine Faelligkeiten in Jahr 1 und 2, erste in Jahr 3 | Res: 25.880 Bcfe (XBRL) / 6 | Prod: Schaetzung: ~7,2 Bcfe/d / 6 x 365"
EQT,EQT Corp.,E&P,V,7293.2,507.1,7800.3,110.8,7689.5,3249.6,2600.4,5850,438.7,5126,2288.4,2837.6,389.6,0,27360.1,507.1,0.218933603623391,4674,395,"Res: 28.046 Bcfe (XBRL) / 6 | Prod: Schaetzung: ~6,5 Bcfe/d / 6 x 365"
DVN,Devon Energy,E&P,V,7391,998,8389,1384,7005,3963,3595,7558,497,6711,3592,3119,619,1050,15528,1461,0.226485862665897,2400,307,"Res: 10-K FY2025: 2,4 Mrd. BOE | Prod: ~840 kboe/d x 365"
CTRA,Coterra Energy,E&P,V,3568,250,3818,114,3704,2452,2370,4822,205,4021,2288,1733,682,141,14838,1000,0.241272646928856,3000,281,"Res: Schaetzung; YE2024 rund 2,9 Mrd. BOE | Prod: Schaetzung: ~0,77 MMboe/d x 365"
