,,,,,,,,,,,,,,,,,,,,,
"Kennzahlen-Übersicht — Credit Comps US Oil & Gas, FY2025",,,,,,,,,,,,,,,,,,,,,
Vollständig formelbasiert. Spalten R:T sind Näherungen der Agentur-Methodiken aus dem Sheet 'Agentur_Bruecke'.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ticker,Unternehmen,Sektor,Net Debt / EBITDA,Zinsdeckung EBITDA/Zins,Zinsdeckung EBIT/Zins,Free Cash Flow ($m),FCF / Net Debt,FCF / Total Debt,Capex / D&A,Payout ($m),Payout / FCF,Fällig <24M ($m),<24M / Total Debt,Moody's,S&P,Fitch,Moody's adj. Debt/EBITDA,S&P adj. Debt/EBITDA,Fitch adj. Debt/EBITDA,ROCE,Reserve Life (Jahre)
XOM,Exxon Mobil Corp.,Integrated,0.4841447601084522,112.54394693200663,69.43781094527363,23612,0.7186510835159484,0.542343294209523,1.0909860347016505,37504,1.588344909368118,11796,0.2709419574155316,Aa2 (stable),AA- (positive),n.r. ,0.8043777338789333,0.7861401157048117,0.710752081275575,0.09736463016725348,9.615384615384615
CVX,Chevron Corp.,Integrated,1.0565073493624062,33.764995891536564,17.222678718159408,16592,0.382180863315981,0.32726483757076075,0.8616630240413272,24830,1.4965043394406943,16641,0.328231326061658,Aa2 (stable),AA- (stable),n.r. ,1.3737387087135404,1.464666605373848,1.3028708023996138,0.05457375864522002,8.294209702660407
COP,ConocoPhillips,E&P,0.6689957366177167,21.540816326530614,11.761904761904763,7496,0.4423201746621821,0.3197406585906842,1.0695652173913044,9013,1.202374599786553,1806,0.07703463572769152,A2 (stable),A- (stable),A (stable),0.9830457071299992,0.9742799561712452,0.9546059325350239,0.09928520985330114,9.291521486643438
EOG,EOG Resources,E&P,0.41858749769500275,46.1531914893617,27.170212765957448,3929,0.8654185022026432,0.49508568548387094,1.3707688859000224,4725,1.2025960804275897,27,0.003402217741935484,A2 (stable),A (stable),n.r. ,0.7815039780990675,0.5917101548464369,0.7815039780990675,0.1323308473191935,13.128571428571428
OXY,Occidental Petroleum,E&P,1.7400340715502556,10.88044485634847,3.8989805375347544,4105,0.20094967691403956,0.18329165922486157,0.8531793442187707,1594,0.3883069427527406,1773,0.07916592248615824,Baa3 (stable),BBB- (positive),BBB- (stable),2.262642250360635,2.37858631190896,2.2034380509697065,0.04803551590100586,9.001956947162427
FANG,Diamondback Energy,E&P,2.2818845177664975,25.83606557377049,5.188524590163935,5235,0.36392075078206465,0.3613085789219408,0.6992854307264788,3156,0.602865329512894,2663,0.18379460280212576,Baa3 (positive),BBB (stable),BBB (stable),1.4553033346725592,1.4856870229007633,1.4553033346725592,0.018189428123849282,10.767857142857142
EXE,Expand Energy,E&P,0.8059071729957806,23.195744680851064,10.514893617021277,1839,0.4186205326656044,0.3671391495308445,0.9181208053691275,865,0.4703643284393692,0,0,Baa3 (stable),BBB- (stable),BBB- (stable),0.9307580174927114,0.9174562682215743,0.9307580174927114,0.08350588774465295,9.84703196347032
EQT,EQT Corp.,E&P,1.3144444444444445,13.334852974697972,7.407339867791201,2837.6,0.3690226932830483,0.3637808802225555,0.8800184586986618,389.6,0.13729912602199043,507.1,0.06501032011589299,Baa3 (positive),BBB- (positive),BBB- (positive),1.2793420368926995,1.3855100350740455,1.2793420368926995,0.07218784091379588,11.832911392405064
DVN,Devon Energy,E&P,0.9268324953691452,15.207243460764587,7.9738430583501,3119,0.4452533904354033,0.3717964000476815,0.9991655076495132,1669,0.5351074062199422,1461,0.17415663368697104,Baa3 (stable),BBB- (stable),BBB (stable),1.125416026625704,1.0352342549923195,1.1091909882232462,0.12816977573504412,7.817589576547231
CTRA,Coterra Energy,E&P,0.7681459975114061,23.521951219512196,11.960975609756098,1733,0.46787257019438444,0.45390256678889473,0.9654008438818565,823,0.4748990190421235,1000,0.26191723415400736,Baa2 (stable),BBB (stable),BBB (stable),0.8331605143094152,0.8628681045209456,0.8316051430941518,0.09972124087320139,10.676156583629894
WMB,Williams Companies,Midstream,4.370777930612869,4.5374479889043,2.909847434119279,1005,0.03514231764459053,0.03506507100240745,2.0847890924584576,2442,2.4298507462686567,3339,0.11649977321098356,Baa2 (stable),BBB (stable),BBB (stable),4.247461368653422,4.52373068432671,4.247461368653422,0.07339215054374959,n/a
KMI,Kinder Morgan,Midstream,4.450327434861363,3.9850083287062743,2.622987229317046,2891,0.09051346274264245,0.09033528106739994,1.2335915205870362,2604,0.9007263922518159,2168,0.06774364903290317,Baa1 (stable),BBB+ (stable),BBB+ (stable),4.543006204173717,4.561089960518895,4.543006204173717,0.05801897346483444,n/a
OKE,ONEOK,Midstream,4.399448656099242,4.068984856982613,3.2198541783510937,2447,0.07666520458675355,0.0764783097887236,2.081902245706737,2658,1.0862280343277482,1241,0.038786098262282784,Baa2 (stable),BBB (stable),BBB (stable),4.436140930360583,4.42540600055051,4.436140930360583,0.08112488793223256,n/a
TRGP,Targa Resources,Midstream,3.562632827813887,5.683044090056286,3.9061913696060038,584.0999999999999,0.033828903702588266,0.033506573965718996,2.1997624232825186,1456.9,2.494264680705359,1520,0.08719396067093457,Baa3 (positive),BBB (stable),BBB- (positive),3.6137496395765543,3.6081785228817407,3.6137496395765543,0.1270697270280413,n/a
